                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96178,                 2.8261,                 1.4253,                0.89966,                0.52211,                0.72651,                0.51172,                 1.5557,                  1.654,                 1.3456,                      0,                      0,                      0
                      2,                 1.0556,                 2.3126,                 1.4846,                 0.9048,                0.53127,                0.73101,                0.51486,                 1.5563,                 1.6267,                 1.3351,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1811,                 2.9597,                 1.4471,                0.90643,                0.53718,                0.74026,                0.50692,                 1.5547,                 1.6098,                 1.3239,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2111,                 3.2099,                 1.3685,                0.91057,                0.54445,                0.77722,                0.52634,                  1.547,                  1.575,                 1.3197,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.1261,                 2.7818,                 1.3089,                0.90943,                   0.55,                0.77711,                0.52762,                 1.5262,                 1.5538,                  1.312,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.0702,                 2.5096,                 1.4262,                0.90566,                   0.55,                0.74843,                0.54999,                 1.5133,                 1.5769,                 1.3092,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2278,                  2.011,                 1.4152,                0.91273,                   0.55,                0.74987,                0.53986,                 1.5148,                 1.6228,                 1.3127,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.2349,                 1.9697,                 1.5643,                0.91719,                   0.55,                0.75122,                0.53582,                 1.5227,                 1.6764,                 1.3233,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.2754,                 2.8105,                 1.5002,                0.92232,                   0.55,                0.75136,                0.52887,                 1.5417,                 1.7077,                 1.3476,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.0239,                 2.1398,                 1.2296,                0.93305,                0.54941,                0.75331,                0.51966,                 1.5782,                 1.7663,                 1.3812,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0993,                 2.9474,                 1.4574,                 0.9405,                0.54179,                0.83624,                0.57843,                 1.5498,                  1.785,                 1.3739,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.1671,                 2.8857,                  1.569,                 0.9277,                   0.55,                0.84051,                0.56232,                 1.5388,                 1.8023,                 1.3685,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.2095,                 2.0511,                 1.5861,                0.90857,                   0.55,                0.83996,                0.56219,                 1.5189,                 1.8131,                 1.3633,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.1955,                 2.8423,                 1.4538,                0.87244,                   0.55,                0.74306,                0.53256,                 1.5079,                 1.8427,                 1.3585,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.80404,                  1.534,                 1.2139,                0.86008,                   0.55,                0.74053,                0.55134,                 1.5022,                 1.8839,                 1.3556,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                  1.124,                 2.3734,                 1.4924,                0.85033,                   0.55,                0.74104,                 0.5537,                 1.5073,                 1.9307,                 1.3581,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.1638,                 1.8731,                 1.4553,                 0.8054,                   0.55,                0.65751,                0.50115,                 1.5054,                 1.9585,                 1.3524,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 0.7478,                 2.3881,                 1.1955,                 0.8054,                   0.55,                0.65751,                0.50115,                 1.5054,                 1.9585,                 1.3524,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.87974,                 1.3004,                 1.2365,                0.78695,                0.56139,                0.61631,                0.48196,                  1.519,                 2.0341,                 1.3598,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.0471,                 1.7023,                 1.4587,                0.78695,                0.56139,                0.61631,                0.48196,                  1.519,                 2.0341,                 1.3598,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                0.93424,                  2.502,                 1.3685,                0.74566,                0.57581,                0.61756,                0.46548,                 1.5321,                 2.1148,                 1.3619,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 0.9837,                 1.6581,                 1.2884,                0.74566,                0.57581,                0.61756,                0.46548,                 1.5321,                 2.1148,                 1.3619,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.91689,                 1.3501,                 1.1281,                0.76257,                0.57809,                0.63068,                  0.473,                 1.5428,                 2.1721,                 1.3652,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.0767,                 2.5677,                 1.4534,                0.76257,                0.57809,                0.63068,                  0.473,                 1.5428,                 2.1721,                 1.3652,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 1.0412,                 1.6088,                 1.4923,                0.93359,                0.38333,                0.63101,                0.45938,                 1.5765,                 2.2625,                 1.3867,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.72732,                 1.2702,                 1.1645,                0.93359,                0.38333,                0.63101,                0.45938,                 1.5765,                 2.2625,                 1.3867,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 1.0771,                 1.8643,                 1.4374,                0.92936,                0.38333,                0.59644,                0.45843,                 1.5809,                 2.3066,                 1.3919,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 1.0737,                 2.2724,                 1.4476,                0.92936,                0.38333,                0.59644,                0.45843,                 1.5809,                 2.3066,                 1.3919,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 1.1618,                 2.3286,                 1.5348,                0.93103,                0.38333,                0.59594,                0.44203,                  1.635,                 2.3479,                 1.4361,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.88146,                 1.6303,                 1.2407,                0.93103,                0.38333,                0.59594,                0.44203,                  1.635,                 2.3479,                 1.4361,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 1.0368,                 2.2157,                 1.5384,                0.93428,                0.38333,                0.57508,                0.44913,                 1.6766,                  2.385,                 1.4754,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.86519,                 1.7024,                 1.1235,                0.93428,                0.38333,                0.57508,                0.44913,                 1.6766,                  2.385,                 1.4754,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.0995,                 2.6653,                 1.5316,                0.93894,                0.38333,                0.57501,                0.44553,                 1.7634,                  2.421,                 1.5803,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.97378,                 1.1986,                 1.3042,                0.93894,                0.38333,                0.57501,                0.44553,                 1.7634,                  2.421,                 1.5803,              2.644e-05,              2.644e-05,              2.644e-05
